date, pm25, pm10, o3, no2, so2, co
2020/12/1, 39, 17, 18, 13, , 
2020/12/2, 33, 1, 24, 9, , 
2020/12/3, 5, 9, 24, 8, , 
2020/12/4, 44, 9, 19, 6, , 
2020/12/5, 41, 9, 15, 4, , 
2020/12/6, 38, 28, 3, 15, , 
2020/12/7, 83, 26, 4, 15, , 
2020/12/8, 67, 29, 11, 14, , 
2020/12/9, 79, 15, 11, 9, , 
2020/12/10, 44, 10, 16, 13, , 
2020/12/11, 33, 13, 16, 9, , 
2020/12/12, 32, 11, 17, 7, , 
2020/12/13, 35, 11, 15, 11, , 
2020/12/14, 32, 12, 14, 14, , 
2020/12/15, 32, 12, 10, 12, , 
2020/12/16, 43, 15, 11, 14, , 
2020/12/17, 42, 16, 10, 14, , 
2020/12/18, 44, 12, 13, 10, , 
2020/12/19, 43, 16, 19, 7, , 
2020/12/20, 36, 7, 16, 8, , 
2020/12/21, 31, 6, 18, 7, , 
2020/12/22, 18, 10, 25, 7, , 
2020/12/23, 26, 8, 25, 6, , 
2020/12/24, 23, 8, 23, 4, , 
2020/12/25, 26, , , , , 
2020/11/1, 8, 9, 24, 4, , 
2020/11/2, 17, 20, 20, 14, , 
2020/11/3, 34, 22, 14, 22, 1, 
2020/11/4, 54, 21, 17, 12, 1, 
2020/11/5, 50, 20, 10, 10, 1, 
2020/11/6, 53, 22, 11, 11, , 
2020/11/7, 63, 16, 15, 9, , 
2020/11/8, 46, 21, 11, 15, , 
2020/11/9, 49, 17, 14, 16, , 
2020/11/10, 45, 12, 10, 8, , 
2020/11/11, 37, 18, 21, 13, , 
2020/11/12, 36, 18, 11, 12, , 
2020/11/13, 48, 16, 22, 6, , 
2020/11/14, 40, 12, 28, 2, , 
2020/11/15, 30, 19, 24, 9, , 
2020/11/16, 32, 19, 18, 13, , 
2020/11/17, 34, 18, 14, 12, , 
2020/11/18, 42, 16, 23, 7, , 
2020/11/19, 29, 23, 13, 19, 1, 
2020/11/20, 49, 24, 17, 14, , 
2020/11/21, 63, 26, 10, 15, , 
2020/11/22, 77, 28, 8, 19, , 
2020/11/23, 69, 25, 4, 15, , 
2020/11/24, 69, 32, 10, 17, , 
2020/11/25, 74, 46, 3, 25, , 
2020/11/26, 102, 43, 2, 19, , 
2020/11/27, 99, 30, 5, 15, , 
2020/11/28, 83, 19, 9, 11, , 
2020/11/29, 64, 31, 7, 12, , 
2020/11/30, 82, 19, 17, 10, , 
2020/10/1, 25, 8, 17, 11, , 
2020/10/2, 19, 8, 21, 7, , 
2020/10/3, 19, 9, 23, 2, , 
2020/10/4, 21, 7, 22, 7, , 
2020/10/5, 16, 10, 22, 6, , 
2020/10/6, 19, 14, 20, 7, , 
2020/10/7, 21, 13, 18, 7, , 
2020/10/8, 23, 11, 19, 10, , 
2020/10/9, 27, 11, 25, 6, , 
2020/10/10, 22, 8, 19, 5, , 
2020/10/11, 21, 13, 17, 13, , 
2020/10/12, 30, 10, 15, 9, , 
2020/10/13, 26, 14, 18, 11, , 
2020/10/14, 41, 16, 15, 11, 1, 
2020/10/15, 40, 18, 14, 12, 1, 
2020/10/16, 47, 24, 12, 13, 1, 
2020/10/17, 63, 25, 22, 17, 1, 
2020/10/18, 66, 24, 22, 13, , 
2020/10/19, 63, 13, 18, 12, , 
2020/10/20, 34, 15, 28, 6, , 
2020/10/21, 29, 16, 18, 8, , 
2020/10/22, 26, 13, 22, 9, , 
2020/10/23, 26, 8, 22, 3, , 
2020/10/24, 16, 6, 22, 4, , 
2020/10/25, 16, 13, 22, 8, , 
2020/10/26, 21, 9, 17, 7, , 
2020/10/27, 21, 14, 22, 7, , 
2020/10/28, 23, 12, 19, 11, , 
2020/10/29, 28, 13, 18, 10, , 
2020/10/30, 26, 12, 23, 6, , 
2020/10/31, 26, 4, 25, 2, , 
2020/9/1, 31, 18, 39, 13, , 
2020/9/2, 34, 18, 34, 16, , 
2020/9/3, 29, 16, 42, 13, , 
2020/9/4, 22, 12, 29, 4, 1, 
2020/9/5, 25, 13, 25, 7, 1, 
2020/9/6, 26, 14, 28, 12, , 
2020/9/7, 30, , 27, 15, , 
2020/9/9, 22, 24, 19, 10, , 
2020/9/10, 26, 23, 27, 15, , 
2020/9/11, 39, 18, 34, 7, , 
2020/9/12, 36, 18, 43, 12, , 
2020/9/13, 30, 28, 48, 25, , 
2020/9/14, 44, 33, 51, 26, , 
2020/9/15, 53, 37, 62, 21, , 
2020/9/16, 59, 30, 33, 6, , 
2020/9/17, 43, 29, 40, 9, , 
2020/9/18, 45, 23, 38, 8, , 
2020/9/19, 48, 18, 36, 12, , 
2020/9/20, 45, 29, 43, 17, 1, 
2020/9/21, 51, 32, 44, 17, 1, 
2020/9/22, 56, 14, 25, 7, 1, 
2020/9/23, 26, 9, 20, 8, , 
2020/9/24, 18, 11, 24, 6, , 
2020/9/25, 23, 12, 25, 3, , 
2020/9/26, 19, 9, 22, 3, , 
2020/9/27, 20, 10, 16, 9, , 
2020/9/28, 20, 13, 10, 15, , 
2020/9/29, 25, 13, 24, 12, , 
2020/9/30, 26, 11, 23, 9, , 
2020/8/1, 29, 10, 31, 2, , 
2020/8/2, 23, 11, 29, 5, , 
2020/8/3, 19, 16, 41, 6, , 
2020/8/4, 26, 22, 45, 15, 1, 
2020/8/5, 32, 29, 66, 20, , 
2020/8/6, 45, 22, 54, 10, , 
2020/8/7, 33, 22, 72, 15, , 
2020/8/8, 42, 28, 62, 7, , 
2020/8/9, 52, 18, 66, 7, , 
2020/8/10, 32, 30, 69, 22, , 
2020/8/11, 57, 21, 47, 12, , 
2020/8/12, 44, 8, 36, 8, , 
2020/8/13, 28, 10, 32, 6, , 
2020/8/14, 16, 9, 40, 5, , 
2020/8/15, 15, 10, 40, 5, , 
2020/8/16, 17, 8, 28, 5, , 
2020/8/17, 10, 9, 28, 9, , 
2020/8/18, 9, 11, 25, 8, , 
2020/8/19, 10, 13, 38, 7, , 
2020/8/20, 20, 14, 28, 6, , 
2020/8/21, 22, 16, 30, 3, , 
2020/8/22, 24, 9, 28, 2, , 
2020/8/23, 13, 14, 26, 7, , 
2020/8/24, 17, 16, 29, 10, , 
2020/8/25, 16, 16, 27, 3, , 
2020/8/26, 22, 19, 29, 9, , 
2020/8/27, 27, 11, 22, 4, 1, 
2020/8/28, 19, 7, 24, 5, , 
2020/8/29, 19, 9, 28, 3, , 
2020/8/30, 17, 16, 30, 7, , 
2020/8/31, 21, 18, 32, 13, , 
2020/7/1, 15, 10, 24, 3, , 
2020/7/2, 20, 11, 25, 4, , 
2020/7/3, 20, 12, 21, 4, , 
2020/7/4, 22, 6, 16, 1, , 
2020/7/5, 14, 19, 28, 2, , 
2020/7/6, 36, 17, 35, 7, , 
2020/7/7, 33, 15, 21, 6, , 
2020/7/8, 25, 16, 27, 6, 5, 
2020/7/9, 25, 11, 32, 3, 1, 
2020/7/10, 18, 14, 36, 5, 1, 
2020/7/11, 27, 14, 40, 4, 1, 
2020/7/12, 27, 17, 48, 6, 1, 
2020/7/13, 36, 11, 35, 3, , 
2020/7/14, 28, 15, 29, 5, 1, 
2020/7/15, 34, 13, 22, 4, 1, 
2020/7/16, 28, 15, 28, 7, 1, 
2020/7/17, 29, 19, 39, 8, 1, 
2020/7/18, 37, 19, 38, 6, 1, 
2020/7/19, 36, 21, 34, 5, , 
2020/7/20, 37, 20, 38, 5, 2, 
2020/7/21, 32, 22, 39, 6, 1, 
2020/7/22, 34, 31, 47, 11, , 
2020/7/23, 46, 14, 32, 5, , 
2020/7/24, 28, 14, 24, 8, 1, 
2020/7/25, 24, 8, 24, 2, , 
2020/7/26, 15, 17, 34, 6, , 
2020/7/27, 22, 12, 29, 2, , 
2020/7/28, 24, 15, 38, 7, , 
2020/7/29, 30, 24, 48, 8, , 
2020/7/30, 35, 29, 53, 11, , 
2020/7/31, 48, 16, 30, 4, , 
2020/6/1, 30, 21, 54, 15, , 
2020/6/2, 42, 23, 57, 9, , 
2020/6/3, 46, 17, 29, 7, , 
2020/6/4, 43, 13, 25, 4, , 
2020/6/5, 27, 11, 31, 2, , 
2020/6/6, 20, 11, 28, 3, , 
2020/6/7, 22, 15, 23, 8, , 
2020/6/8, 30, 16, 29, 6, , 
2020/6/9, 34, 21, 37, 10, , 
2020/6/10, 44, 16, 41, 6, , 
2020/6/11, 41, 9, 30, 4, , 
2020/6/12, 24, 9, 32, 4, , 
2020/6/13, 20, 11, 30, 2, , 
2020/6/14, 25, 12, 30, 4, , 
2020/6/15, 22, 11, 30, 5, , 
2020/6/16, 24, 12, 28, 9, , 
2020/6/17, 23, 11, 29, 7, , 
2020/6/18, 26, 11, 26, 7, , 
2020/6/19, 22, 10, 32, 6, , 
2020/6/20, 28, 11, 20, 5, 1, 
2020/6/21, 29, 22, 35, 8, , 
2020/6/22, 43, 21, 48, 9, , 
2020/6/23, 43, 21, 56, 5, , 
2020/6/24, 40, 21, 64, 5, , 
2020/6/25, 43, 23, 43, 9, , 
2020/6/26, 52, 14, 32, 2, , 
2020/6/27, 33, 9, 28, 2, , 
2020/6/28, 21, 12, 29, 3, , 
2020/6/29, 19, 12, 21, 4, , 
2020/6/30, 21, 8, 12, 4, , 
2020/5/1, 22, 10, 37, 3, , 
2020/5/2, 25, 9, 27, 4, , 
2020/5/3, 35, 12, 29, 7, , 
2020/5/4, 37, 18, 24, 6, , 
2020/5/5, 54, 15, 45, 7, , 
2020/5/6, 40, 15, 51, 11, , 
2020/5/7, 40, 16, 56, 7, 1, 
2020/5/8, 47, 14, 35, 8, , 
2020/5/9, 49, 10, 29, 3, , 
2020/5/10, 35, 30, 32, 4, , 
2020/5/11, 38, 18, 32, 5, , 
2020/5/12, 35, 23, 40, 6, , 
2020/5/13, 51, 17, 37, 5, , 
2020/5/14, 40, 18, 39, 7, , 
2020/5/15, 41, 16, 42, 8, , 
2020/5/16, 44, 13, 45, 5, , 
2020/5/17, 39, 14, 40, 8, , 
2020/5/18, 35, 14, 35, 8, , 
2020/5/19, 35, 13, 38, 7, , 
2020/5/20, 28, 15, 52, 6, , 
2020/5/21, 38, 15, 29, 9, , 
2020/5/22, 35, 16, 30, 3, , 
2020/5/23, 29, 17, 33, 3, , 
2020/5/24, 35, 17, 35, 5, , 
2020/5/25, 42, 19, 42, 7, , 
2020/5/26, 42, 22, 49, 8, 1, 
2020/5/27, 42, 20, 41, 6, , 
2020/5/28, 36, 17, 42, 5, , 
2020/5/29, 34, 17, 43, 7, , 
2020/5/30, 38, 14, 36, 3, , 
2020/5/31, 28, 13, 42, 5, , 
2020/4/1, 58, 18, 34, 7, , 
2020/4/2, 54, 16, 30, 6, , 
2020/4/3, 44, 16, 38, 7, , 
2020/4/4, 47, 14, 40, 3, , 
2020/4/5, 42, 15, 32, 6, , 
2020/4/6, 46, 20, 41, 6, , 
2020/4/7, 58, 21, 48, 10, , 
2020/4/8, 57, 25, 49, 14, , 
2020/4/9, 66, 27, 55, 10, , 
2020/4/10, 60, 23, 53, 9, , 
2020/4/11, 56, 20, 49, 5, , 
2020/4/12, 54, 25, 33, 4, , 
2020/4/13, 60, 20, 37, 2, , 
2020/4/14, 39, 17, 41, 4, , 
2020/4/15, 41, 18, 39, 7, , 
2020/4/16, 47, 22, 40, 10, , 
2020/4/17, 51, 8, 34, 3, , 
2020/4/18, 22, 23, 41, 4, , 
2020/4/19, 63, 23, 41, 4, 29, 
2020/4/20, 65, , 40, 4, 5, 
2020/4/23, 49, 24, 53, 10, , 
2020/4/24, 58, 21, 41, 4, , 
2020/4/25, 50, 20, 46, 4, , 
2020/4/26, 54, 19, 39, 10, , 
2020/4/27, 45, 12, 35, 3, , 
2020/4/28, 25, 9, 31, 4, , 
2020/4/29, 24, 8, 31, 3, , 
2020/4/30, 18, 10, 34, 1, , 
2020/3/1, 24, 8, 27, 9, 1, 
2020/3/2, 17, 16, 21, 17, , 
2020/3/3, 34, 14, 22, 15, , 
2020/3/4, 34, 9, 23, 11, , 
2020/3/5, 21, 13, 28, 9, , 
2020/3/6, 34, 16, 27, 13, , 
2020/3/7, 43, 12, 28, 6, , 
2020/3/8, 28, 13, 26, 8, , 
2020/3/9, 33, 5, 23, 7, , 
2020/3/10, 14, 7, 26, 6, , 
2020/3/11, 21, 10, 30, 5, , 
2020/3/12, 20, 19, 28, 11, , 
2020/3/13, 34, 14, 23, 11, , 
2020/3/14, 37, 14, 31, 8, , 
2020/3/15, 35, 19, 16, 21, , 
2020/3/16, 46, 28, 13, 22, , 
2020/3/17, 67, 35, 24, 22, , 
2020/3/18, 79, 28, 33, 17, , 
2020/3/19, 68, 34, 19, 10, , 
2020/3/20, 89, 10, 22, 4, , 
2020/3/21, 42, 10, 31, 2, , 
2020/3/22, 41, 12, 31, 3, , 
2020/3/23, 38, 13, 35, 4, , 
2020/3/24, 42, 23, 34, 6, , 
2020/3/25, 62, 23, 36, 6, , 
2020/3/26, 65, 32, 34, 12, 1, 
2020/3/27, 79, 55, 37, 12, 1, 
2020/3/28, 123, 22, 33, 2, , 
2020/3/29, 32, 14, 33, 3, , 
2020/3/30, 27, 16, 35, 5, , 
2020/3/31, 50, 19, 38, 8, , 
2020/2/1, 16, 6, 24, 8, , 
2020/2/2, 15, 10, 32, 11, , 
2020/2/3, 21, 13, 29, 7, , 
2020/2/4, 28, 14, 23, 13, , 
2020/2/5, 32, 23, 17, 21, , 
2020/2/6, 51, 21, 15, 18, , 
2020/2/7, 52, 18, 16, 15, , 
2020/2/8, 54, 9, 27, 4, , 
2020/2/9, 30, 18, 32, 4, , 
2020/2/10, 37, 10, 31, 6, , 
2020/2/11, 25, 15, 25, 14, , 
2020/2/12, 29, 14, 32, 7, , 
2020/2/13, 31, 19, 27, 12, , 
2020/2/14, 34, 21, 28, 9, , 
2020/2/15, 47, 10, 33, 3, , 
2020/2/16, 29, 8, 28, 8, , 
2020/2/17, 20, 13, 26, 11, , 
2020/2/18, 29, 12, 28, 10, , 
2020/2/19, 26, 11, 26, 10, , 
2020/2/20, 24, 16, 22, 16, , 
2020/2/21, 36, 14, 25, 9, , 
2020/2/22, 33, 5, 24, , , 
2020/2/23, 19, 5, 21, , , 
2020/2/24, 14, 7, 31, , , 
2020/2/25, 18, 10, 30, , , 
2020/2/26, 24, 11, 23, 11, , 
2020/2/27, 35, 19, 20, 13, , 
2020/2/28, 39, 26, 29, 4, , 
2020/2/29, 42, 8, 28, 7, , 
2020/1/1, 76, 12, 11, 14, , 
2020/1/2, 43, 11, 22, 10, , 
2020/1/3, 35, 15, 23, 16, , 
2020/1/4, 36, 13, 19, 19, 1, 
2020/1/5, 41, 18, 13, 18, 1, 
2020/1/6, 57, 13, 11, 17, , 
2020/1/7, 46, 9, 16, 14, , 
2020/1/8, 29, 8, 18, 10, , 
2020/1/9, 30, 11, 25, 13, , 
2020/1/10, 27, 16, 19, 24, 1, 
2020/1/11, 52, 14, 19, 11, , 
2020/1/12, 45, 8, 18, 12, , 
2020/1/13, 23, 8, 23, 7, , 
2020/1/14, 25, 14, 23, 13, , 
2020/1/15, 39, 14, 21, 18, , 
2020/1/16, 40, 11, 25, 13, , 
2020/1/17, 31, 14, 19, 20, , 
2020/1/18, 36, 20, 24, 16, , 
2020/1/19, 44, 24, 19, 19, , 
2020/1/20, 53, 28, 9, 24, , 
2020/1/21, 69, 36, 5, 27, , 
2020/1/22, 89, 25, 11, 20, , 
2020/1/23, 74, 42, 3, 20, , 
2020/1/24, 114, 47, 3, 22, 1, 
2020/1/25, 127, 42, 11, 19, , 
2020/1/26, 108, 12, 22, 10, , 
2020/1/27, 33, 8, 31, 7, , 
2020/1/28, 18, 14, 28, 17, 1, 
2020/1/29, 31, 10, 18, 17, , 
2020/1/30, 30, 5, 21, 11, , 
2020/1/31, 16, 6, 27, 8, , 
2019/10/1, 20, 11, 25, 8, , 
2019/10/2, 23, 21, 19, 23, 1, 
2019/10/3, 44, 16, 22, 9, 1, 
2019/10/4, 32, 8, 18, 8, 1, 
2019/10/5, 21, 10, 28, 5, 1, 
2019/10/6, 20, 12, 23, 7, , 
2019/10/7, 23, 7, 19, 11, , 
2019/10/8, 17, 11, 22, 11, , 
2019/10/9, 20, 14, 21, 13, , 
2019/10/10, 22, 14, 23, 13, , 
2019/10/11, 26, 15, 21, 11, , 
2019/10/12, 34, 18, 26, 8, , 
2019/10/13, 38, 15, 28, 9, , 
2019/10/14, 26, 9, 22, 9, , 
2019/10/15, 16, 9, 20, 7, , 
2019/10/16, 16, 7, 16, 12, , 
2019/10/17, 17, 10, 27, 7, , 
2019/10/18, 21, 9, 21, 10, , 
2019/10/19, 25, 8, 19, 12, , 
2019/10/20, 31, 9, 21, 13, , 
2019/10/21, 21, 24, 13, 20, , 
2019/10/22, 63, 22, 11, 11, , 
2019/10/23, 51, 15, 18, 11, , 
2019/10/24, 34, 12, 14, 13, , 
2019/10/25, 28, 11, 18, 8, , 
2019/10/26, 21, 10, 19, 9, , 
2019/10/27, 32, 14, 16, 9, , 
2019/10/28, 32, 13, 15, 6, , 
2019/10/29, 35, 21, 9, 12, , 
2019/10/30, 55, 23, 3, 10, , 
2019/10/31, 63, 11, 17, 9, , 
2019/11/1, 31, 9, 24, 5, , 
2019/11/2, 24, 5, 24, 6, , 
2019/11/3, 17, 9, 20, 9, , 
2019/11/4, 26, 17, 20, 17, , 
2019/11/5, 32, 14, 12, 15, , 
2019/11/6, 42, 11, 21, 10, , 
2019/11/7, 24, 17, 10, 18, , 
2019/11/8, 40, 16, 13, 15, , 
2019/11/9, 48, 12, 9, 12, , 
2019/11/10, 47, 10, 20, 9, , 
2019/11/11, 30, 11, 17, 19, , 
2019/11/12, 29, 13, 17, 14, , 
2019/11/13, 32, 9, 22, 13, , 
2019/11/14, 32, 11, 12, 17, , 
2019/11/15, 45, 10, 14, 11, , 
2019/11/16, 37, 15, 13, 15, , 
2019/11/17, 50, 13, 9, 18, , 
2019/11/18, 43, 19, 16, 22, , 
2019/11/19, 44, 19, 14, 15, , 
2019/11/20, 54, 19, 14, 15, , 
2019/11/21, 58, 10, 20, 11, , 
2019/11/22, 30, 14, 18, 11, , 
2019/11/23, 45, 20, 17, 17, , 
2019/11/24, 62, 12, 14, 12, , 
2019/11/25, 33, 9, 16, 12, , 
2019/11/26, 25, 8, 22, 9, , 
2019/11/27, 20, 10, 20, 11, , 
2019/11/28, 26, 14, 17, 19, , 
2019/11/29, 36, 17, 22, 11, , 
2019/11/30, 43, 16, 15, 12, , 
2019/12/1, 54, 24, 8, 25, , 
2019/12/2, 63, 24, 5, 21, , 
2019/12/3, 68, 35, 5, 23, , 
2019/12/4, 89, 29, 2, 23, , 
2019/12/5, 91, 18, 15, 15, , 
2019/12/6, 63, 11, 15, 15, , 
2019/12/7, 30, 10, 25, 7, , 
2019/12/8, 23, 11, 26, 10, , 
2019/12/9, 32, 22, 18, 19, , 
2019/12/10, 51, 11, 20, 16, , 
2019/12/11, 35, 7, 18, 14, , 
2019/12/12, 27, 13, 29, 8, , 
2019/12/13, 29, 16, 32, 10, , 
2019/12/14, 35, 12, 31, 10, , 
2019/12/15, 34, 11, 18, 20, , 
2019/12/16, 36, 13, 15, 17, , 
2019/12/17, 34, 13, 11, 17, , 
2019/12/18, 40, 16, 21, 15, , 
2019/12/19, 37, 7, 24, 9, , 
2019/12/20, 19, 10, 28, 8, , 
2019/12/21, 24, 9, 29, 5, , 
2019/12/22, 28, 14, 25, 9, , 
2019/12/23, 39, 13, 26, 9, , 
2019/12/24, 28, 12, 27, 8, , 
2019/12/25, 31, 15, 21, 17, , 
2019/12/26, 39, 10, 26, 11, , 
2019/12/27, 30, 9, 20, 9, , 
2019/12/28, 36, 24, 8, 14, , 
2019/12/29, 78, , , , , 
2019/7/1, 28, 18, 39, 7, 1, 
2019/7/2, 28, 20, 43, 7, , 
2019/7/3, 33, 22, 48, 7, , 
2019/7/4, 30, 24, 52, 13, , 
2019/7/5, 32, 23, 67, 15, 1, 
2019/7/6, 45, 16, 40, 7, 1, 
2019/7/7, 40, 19, 37, 5, , 
2019/7/8, 31, 16, 36, 6, 1, 
2019/7/9, 17, 25, 47, 10, 1, 
2019/7/10, 37, 29, 45, 20, , 
2019/7/11, 47, 15, 37, 6, , 
2019/7/12, 25, 14, 33, 7, , 
2019/7/13, 32, 13, 28, 4, , 
2019/7/14, 29, 18, 36, 8, 1, 
2019/7/15, 30, 23, 42, 9, , 
2019/7/16, 45, 23, 48, 9, , 
2019/7/17, 39, 21, 34, 7, 1, 
2019/7/18, 31, 14, 31, 5, , 
2019/7/19, 24, 16, 22, 12, , 
2019/7/20, 31, 11, 29, 5, , 
2019/7/21, 23, 22, 57, 11, , 
2019/7/22, 35, 34, 50, 13, 1, 
2019/7/23, 49, 30, 76, , 7, 
2019/7/24, 33, 48, 71, , 2, 
2019/7/26, 28, 9, 27, 5, , 
2019/7/27, 24, 13, 31, 4, , 
2019/7/28, 30, 16, 41, 11, 1, 
2019/7/29, 27, 20, 28, 9, , 
2019/7/30, 27, 12, 27, 6, , 
2019/7/31, 22, 24, 39, 18, , 
2019/8/1, 36, 15, 40, 8, 1, 
2019/8/2, 29, 17, 39, 5, 1, 
2019/8/3, 41, 13, 46, 7, 1, 
2019/8/4, 37, 15, 32, 6, 1, 
2019/8/5, 32, 9, 20, 7, , 
2019/8/6, 17, 11, 29, 7, , 
2019/8/7, 25, 20, 35, 15, , 
2019/8/8, 31, 13, 21, 11, , 
2019/8/9, 27, 16, 32, 3, , 
2019/8/10, 27, 14, 27, 5, , 
2019/8/11, 32, 14, 27, 7, , 
2019/8/12, 26, 9, 27, 8, , 
2019/8/13, 21, 10, 28, 10, , 
2019/8/14, 24, 9, 23, 3, , 
2019/8/15, 18, 13, 28, 9, 1, 
2019/8/16, 27, 7, 17, 6, , 
2019/8/17, 15, 5, 24, 5, , 
2019/8/18, 13, 12, 27, 10, , 
2019/8/19, 27, 16, 33, 12, 1, 
2019/8/20, 34, 15, 40, 9, , 
2019/8/21, 31, 18, 44, 15, , 
2019/8/22, 38, 18, 53, 10, , 
2019/8/23, 37, 18, 51, 11, 1, 
2019/8/24, 45, 19, 69, 16, , 
2019/8/25, 48, 22, 60, 22, , 
2019/8/26, 47, 27, 61, 15, , 
2019/8/27, 49, 22, 41, 15, , 
2019/8/28, 43, 11, 30, 7, , 
2019/8/29, 27, 18, 40, 12, , 
2019/8/30, 26, 17, 43, 7, 1, 
2019/8/31, 30, 11, 30, 4, , 
2019/9/1, 17, 16, 33, 11, , 
2019/9/2, 23, 16, 33, 13, , 
2019/9/3, 24, 20, 30, 13, , 
2019/9/4, 34, 15, 24, 8, , 
2019/9/5, 21, 16, 32, 13, , 
2019/9/6, 29, 10, 24, 5, , 
2019/9/7, 18, 11, 31, 6, , 
2019/9/8, 20, 17, 30, 16, , 
2019/9/9, 28, 18, 34, 19, 1, 
2019/9/10, 30, 17, 29, 13, 1, 
2019/9/11, 29, 12, 16, 12, , 
2019/9/12, 19, 14, 16, 11, , 
2019/9/13, 25, 14, 30, 9, 1, 
2019/9/14, 32, 19, 44, 18, , 
2019/9/15, 45, 21, 34, 17, , 
2019/9/16, 35, 20, 30, 10, , 
2019/9/17, 35, 24, 27, 7, , 
2019/9/18, 24, 23, 29, 8, , 
2019/9/19, 30, 24, 34, 8, , 
2019/9/20, 26, 19, 40, 10, 2, 
2019/9/21, 33, 11, 27, 7, , 
2019/9/22, 26, 12, 26, 8, , 
2019/9/23, 18, 8, 18, 11, , 
2019/9/24, 18, 13, 19, 9, , 
2019/9/25, 21, 14, 24, 8, , 
2019/9/26, 23, 11, 25, 10, 1, 
2019/9/27, 24, 10, 26, 6, , 
2019/9/28, 17, 8, 24, 4, , 
2019/9/29, 19, 10, 25, 7, , 
2019/9/30, 21, 9, 22, 8, , 
2019/4/1, 80, 20, 36, 12, 1, 
2019/4/2, 57, 7, 33, 9, , 
2019/4/3, 15, , 36, 17, , 
2019/4/5, 42, 17, 36, 8, , 
2019/4/6, 54, 8, 37, 9, , 
2019/4/7, 23, 19, 31, 23, , 
2019/4/8, 42, 21, 32, 19, , 
2019/4/9, 52, 38, 19, 16, , 
2019/4/10, 92, 31, 32, 14, , 
2019/4/11, 68, 34, 30, 14, , 
2019/4/12, 78, 21, 35, 11, , 
2019/4/13, 60, 22, 36, 10, , 
2019/4/14, 68, 31, 40, 13, , 
2019/4/15, 73, 20, 28, 15, , 
2019/4/16, 62, 17, 36, 14, , 
2019/4/17, 44, 17, 47, 11, , 
2019/4/18, 42, 24, 46, 17, , 
2019/4/19, 51, 17, 55, 14, , 
2019/4/20, 40, 23, 52, 14, , 
2019/4/21, 53, 23, 48, 20, , 
2019/4/22, 56, 28, 30, 20, , 
2019/4/23, 54, 20, 35, 9, , 
2019/4/24, 31, 9, 31, 8, , 
2019/4/25, 20, 10, 32, 10, , 
2019/4/26, 24, 16, 33, 4, , 
2019/4/27, 21, 13, 30, 5, , 
2019/4/28, 32, 17, 30, 14, , 
2019/4/29, 41, 32, 30, 15, , 
2019/4/30, 79, 36, 38, 12, , 
2019/5/1, 92, 30, 30, 11, , 
2019/5/2, 71, 16, 27, 14, , 
2019/5/3, 40, 11, 26, 10, , 
2019/5/4, 30, 14, 34, 7, , 
2019/5/5, 33, 19, 28, 16, , 
2019/5/6, 42, 17, 38, 12, , 
2019/5/7, 40, 10, 31, 8, , 
2019/5/8, 31, 9, 31, 8, , 
2019/5/9, 23, 11, 32, 12, , 
2019/5/10, 29, 10, 34, 8, , 
2019/5/11, 31, 13, 37, 6, , 
2019/5/12, 33, 14, 39, 8, , 
2019/5/13, 28, 17, 40, 8, , 
2019/5/14, 32, 17, 40, 9, 1, 
2019/5/15, 43, 16, 41, 9, , 
2019/5/16, 31, 24, 34, 16, , 
2019/5/17, 54, 9, 39, 8, , 
2019/5/18, 27, 19, 29, 15, , 
2019/5/19, 61, 14, 36, 9, , 
2019/5/20, 44, 20, 34, 13, , 
2019/5/21, 50, 20, 41, 17, , 
2019/5/22, 49, 23, 54, 21, , 
2019/5/23, 48, 21, 44, 13, 1, 
2019/5/24, 42, 15, 34, 9, 1, 
2019/5/25, 41, 12, 26, 7, , 
